30,52,53,54,55,54,53,52,53,54,55,52,53,52,55,54,53,52,55,54
6,7,63,60,61,62,63,60,61,62,63,60,61,61,62,63,60,61,62,29
6,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63
14,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,31,0,1,2,3,-1,0,3,-1,0,2,3,-1,1,-1,-1,-1,-1,-1
14,7,8,9,10,11,-1,8,11,-1,8,10,11,-1,9,35,-1,-1,-1,-1
22,15,16,17,18,19,-1,16,19,-1,16,18,19,-1,17,32,33,34,35,-1
30,23,24,25,26,27,-1,24,27,-1,24,26,27,-1,25,-1,-1,-1,-1,37
30,31,38,39,37,38,36,38,39,36,37,38,39,36,37,38,39,37,36,21
30,44,45,46,47,44,45,44,45,44,45,46,47,46,45,44,45,46,47,47
