30,52,53,54,55,54,53,54,55,54,52,55,54,52,55,54,53,52,55,54
6,62,63,60,61,62,47,61,62,63,60,61,46,61,62,63,60,61,62,29
61,-1,-1,-1,-1,-1,54,-1,-1,-1,-1,-1,53,-1,-1,-1,-1,-1,-1,63
-1,-1,-1,1,-1,-1,45,-1,-1,2,-1,-1,45,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,9,-1,-1,53,-1,-1,10,-1,-1,55,-1,-1,2,1,-1,-1,-1
-1,-1,-1,18,-1,-1,26,-1,-1,17,-1,-1,47,-1,-1,10,9,-1,-1,-1
-1,-1,-1,54,-1,-1,41,-1,-1,54,-1,-1,42,-1,-1,18,17,-1,-1,-1
36,-1,-1,45,-1,-1,-1,-1,-1,46,-1,-1,-1,-1,-1,26,25,-1,-1,37
30,37,38,53,37,38,36,39,36,54,39,37,39,36,37,38,39,37,36,21
30,44,45,46,47,44,45,46,44,45,47,45,46,46,45,44,45,46,47,47
