30,52,53,54,55,54,53,52,53,52,53,54,55,52,55,54,53,52,55,54
6,7,63,60,61,62,63,60,61,62,63,61,62,61,62,63,60,61,4,13
30,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,21
14,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,5
6,23,-1,-1,34,-1,-1,-1,0,1,2,3,-1,-1,-1,33,-1,-1,28,21
30,31,-1,-1,-1,-1,-1,-1,8,9,10,11,-1,-1,-1,-1,-1,-1,4,13
22,15,-1,32,33,35,-1,-1,16,17,18,19,-1,-1,32,34,35,-1,12,5
30,23,-1,-1,-1,-1,-1,-1,24,25,26,27,-1,-1,-1,-1,-1,-1,20,29
30,31,38,39,37,38,36,-1,-1,-1,-1,-1,-1,36,37,38,39,37,28,21
30,44,45,46,47,44,45,34,35,-1,-1,32,33,46,45,44,45,46,47,47
